contr_id;count_id;contr_date;summ;subject
44;373;2022-04-04;22314773;Комплекс работ на Объектах энергоблока №3 Ростовской АЭС: Башенная испарительная градирня. Строительная часть: Сборка блоков оросителей 1,2,3 слоев по дог.№20/07-17СМР от 24.07.17
45;257;2022-04-05;22289096;Услуга по аренде автомобиля Газель борт 4 метра. Период: Декабрь
46;2;2022-04-06;22735653;Услуга по аренде манипулятора (рейс)
47;348;2022-01-02;7731063;Услуги по организации поверки адгезиметра
48;186;2022-05-03;7527447;Аренда ДЭС Elcos GE.Ya 047/044ss по договору аренды оборудования №23/10-17 от 26.10.17 Спецификация №2
49;358;2022-04-04;14276874;Работы на объектах энергоблока №4 Ростовской АЭС. Энергоблок №4. Башенная испарительная градирня. Опорные балки под оросители.
50;245;2022-04-08;7464830;Работы на объектах энергоблока №4 Ростовской АЭС. Энергоблок №4. Башенная испарительная градирня. Опорные балки под оросители.
51;105;2022-04-01;9708454;Выполненные работы автомобилем КАМАЗ-5410 (полуприцеп)
52;102;2022-04-02;11507842;Комплекс работ на Объектах энергоблока №3 Ростовской АЭС: Башенная испарительная градирня. Строительная часть: Сборка блоков оросителей 1,2,3 слоев
53;169;2022-04-03;14492770;Работы на объектах энергоблока №4 Ростовской АЭС. Энергоблок №4. Башенная испарительная градирня. Опорные балки под оросители.
54;347;2022-04-04;4171169;Работы на объектах энергоблока №4 Ростовской АЭС. Энергоблок №4. Башенная испарительная градирня. Опорные балки под оросители.
55;54;2022-04-05;13678296;Генподрядные услуги по дог№20/07-17СМР от 24.07.2017
56;76;2022-04-06;6760630;Работы на Объектах энергоблока №3 Ростовской АЭС: Башенная испарительная градирня. Строительная часть: Сборка блоков оросителей 1,2,3 слоев
57;241;2022-01-02;2986442;Работы по договору №70 от 08.08.17 на объектах энергоблока №4 Ростовской АЭС. Энергоблок №4. Башенная испарительная градирня. Опорные балки под оросители.
58;210;2022-05-03;7028818;Работ на Объектах энергоблока №4 Ростовской АЭС: Башенная испарительная градирня. Водораспределительная система , оросители, каплеуловитель, зимний трубопровод, затворы, перегородки и дефлекторы.
59;62;2022-04-04;7782330;Работы на Объектах энергоблока №3 Ростовской АЭС: Башенная испарительная градирня. Строительная часть: Сборка блоков оросителей 1,2,3 слоев
60;66;2022-04-08;1004717;Комплекс работ на объектах энергоблока №4 Ростовской АЭС. Энергоблок №4. Башенная испарительная градирня. Опорные балки под оросители.
61;345;2022-04-01;14925498;Комплекс работ на объектах энергоблока №4 Ростовской АЭС. Энергоблок №4. Башенная испарительная градирня. Опорные балки под оросители.
62;145;2022-04-02;23754250;Комплекс работ на объектах энергоблока №4 Ростовской АЭС. Энергоблок №4. Башенная испарительная градирня. Опорные балки под оросители.
63;341;2022-04-03;7233412;Оказание платных образовательных услуг с использованием дистанционных технологий
64;183;2022-04-04;9683761;Услуги спецтехники по Дог. №16/0519 от 15.05.2019
65;35;2022-04-05;11141402;"Работы по ремонту кровли (карты №№1, 9) Волховской ГЭС им. В.И. Ленина (ГЭС-6) каскада Ладожских гидроэлектростанций ф-л ""Невский"" ОАО ""ТГК-1"" по доп.согл.№1 от 01.09.2010 к дог.№ 18/10/32853 от 01.07.2010"
66;42;2022-04-06;6940844;Аренда транспортного средства, согласно калькуляции №77
67;61;2022-01-02;1724351;Работы по модернизации распределительного устройства генераторного напряжения ПГУ-450№1, подготовка помещений генераторных выключателей под монтаж по договору №21/10 от 24.08.2010
68;315;2022-05-03;4091055;Пользование Кулер нагрев/охлажд. воды
69;386;2022-04-04;4951094;Юридические услуги по дог. №СК11-08/15 от 11.08.15
70;323;2022-04-08;12938322;Услуги по аттестации специалиста неразрушающего контроля  по дог.№493 от 20.08.213г.
71;367;2022-04-01;2327728;"Абонентское обслуживание типовых конфигураций 1С:Предприятие Пакет ""Техно"" за сент 2015г."
72;292;2022-04-02;15602935;Услуги по получению выписки из ЕГРЮЛ по договору №15277 от 04.09.2015
73;120;2022-04-03;9923917;Ремонт водоструйной машины ВСМ А3 30-500 бар 12 л/мин
74;335;2022-04-04;22838324;"Выполнение работ по ремонту фасада специализированной спортивной школы олимпийского резерва по фехтованию ""Спартак"", по адресу г.Санкт-Петребург, уп.Чайковского д.63 по договору №б/н от 01.06.15"
75;7;2022-04-05;3652147;Капитальный ремонт дымовой трубы №3 по доп.согл.№1 от 17.09.2010 к дог.№ 10/НР от 20.05.2010
76;404;2022-04-06;6596903;Аренда бытовок за ноябрь м-ц 2010 г.
77;97;2022-01-02;2551541;Ремонт внутренней ж/б поверхности подземной части береговой насосной добавочной воды на территории ТЭЦ-5, по адресу: г.Санкт-Петербург, Октябрьская наб., д.108 по доп.согл.№4 к договору №08/11 от 30.12.2011
78;240;2022-05-03;6257714;Ремонт внутренней ж/б поверхности подземной части береговой насосной добавочной воды на территории ТЭЦ-5, по адресу: г.Санкт-Петербург, Октябрьская наб., д.108 по доп.соглашению №5 к договору №08/11 от 30.12.2011
79;188;2022-04-04;23724832;Аренда нежилых помещений в здании Мастерской ремонтно-строительного цеха согласно договора №36/12-ОУИ от 01.02.2012 за октябрь 2012 по акту №1425 от 31.10.2012
80;88;2022-04-08;3576863;Работы по покраске опор на (IVс-8 правая и IVс-8 левая), в том числе по обработке поверхности опор на Секции 4 по  дог.№WHSD-DR-SC-1067 от 16.05.16
81;371;2022-04-01;8390117;"Работы по обшивке стен гипсокартоном и устройству подвесного потолка из гипсокартона коридора ООО ""Отель ""Октябрьская"" по договору №12/13 от 11.07.2013"
82;265;2022-04-02;19315784;Выдача сертификата ключа проверки ЭП для коммерческих торгов и использование в Единой системе электронной торговли В2В-Center, B2G, ЭЛЕКТРА
83;105;2022-04-03;12922410;Ремонт окрасочного аппарата Mark V
84;347;2022-04-04;13486724;Работы по антикоррозийной защите металлоконструкций автомобильного моста ЗСД на секции 3/ярд 1 по дог.№44 от 11.11.15
85;353;2022-04-05;2899070;Оплата по договору №44 от 11.11.2015, по акту №1 от 31.05.2016 (антикоррозийная защита металлоконструкций автомобильного моста ЗСД)
86;335;2022-04-06;5440460;Удержание гарантийной суммы (10% от суммы акта)
87;288;2022-01-02;16673677;Аренда Компрессор Kaeser M100. 10.2 м3/мин с В/О
88;293;2022-05-03;16328660;Доставка лесов на стройплощадку ЗСД
89;385;2022-04-04;21790032;Периодическая проверка: Резервуар стальной вертикальный цилиндрический, РВС-20000
90;225;2022-04-08;24044394;"Авторский надзор за строительством по объекту: ""Реконструкция открытого склада №25 с эстакадами топливоподачи литеры №26, №27""ф-ла ОАО ""Квадра"" - ""Курская региональная генерация"" по дог.№6369/1 АН от 26.03.12 за май 2012"
91;71;2022-04-01;20099687;Услуги по получению выписки из ЕГРЮЛ по договору №11567 от 18.09.2012
92;360;2022-04-02;6256964;Услуги по финансовой аренде (лизингу) за апрель 2012 по дог.№24612-БТ-Т от 23.03.2012 График № Основное приложение
93;229;2022-04-03;2629020;Услуги по финансовой аренде (лизингу) за апрель 2012 по дог.№20311-БТ-Т от 18.05.2011 График № Основное приложение
94;337;2022-04-04;15206514;Услуги по финансовой аренде (лизингу) за Апрель 2012 по дог.№70211-БИ-Авто от 19.10.2011 График № Основное приложение
95;135;2022-04-05;15128564;"Аванс по договору №8_Северное_РСО СМР на объекте строительства: ""КТПН-10/0,4 кВ в районе строительства дома в г.Выборг ЛО"""
96;372;2022-04-06;24157479;"Выполнение работ по ремонту АКЗ оборудования и трубопроводов для филиала ""Северо-Западная ТЭЦ им. А.Г. Бориса"" АО ""Интер РАО - Электрогенерация"" по дог.№ 8-СЕВ/008-0082-19 от 28.06.2019"
97;34;2022-01-02;10663180;Комплекс работ по техническому перевооружению башенной градирни БГ-1600 ст. № 2 инв.№75090009, находящейся по адресу: РФ, Забайкальский край, г. Краснокаменск, Теплоэлектроцентраль ТЭЦ, по договору №307/8254-Д от 26.11.19
98;100;2022-05-03;12056915;"Выполнение работ по ремонту ограждающей конструкции (наружная стена) здания КВПУ-4 на ПС 400 кВ Выборгская для нужд филиала ПАО «ФСК ЕЭС»
Карельское ПМЭС"
99;102;2022-04-04;1750735;Техническое обслуживание ТО1000Bobcat
100;91;2022-04-08;3290115;Строительные работы по дог№01/06-2016 от 01.06.2016
101;418;2022-04-01;13831102;Работы по договору №WHSD-DR-SC-1101 от 10.06.2016 по покраске тела опор, оголовков опор и цоколей на Секции 2 (IV с-14-IVс-16)
102;396;2022-04-02;6115556;Аванс по ДС№2 от 10.08.16 к дог.№WHSD-DR-SC-1062 от 18.05.2016 за работы по ремонту несъемной опалубки на секции 3 в пролетах IV-17 - IV-23 верхний ярус
103;27;2022-04-03;3701411;Услуги по дератации, дезинсекции
104;242;2022-04-04;19489705;Работы по изготовлению металлоконструкций временных укрытий по дог№ИМК 028-16 от 15.08.16
105;248;2022-04-05;6093737;Возмещение затрат за техобслуживание и передачу электроэнергии на Ростовской АЭС за сент-октябрь 2017 по дог №28/08-17СМР от 04.09.2017
106;301;2022-04-06;12583738;Аренда ДЭС Elcos GE.Ya 047/044ss по договору аренды оборудования №23/10-17 от 26.10.17 СПецификация №1
107;251;2022-01-02;5228583;Аренда фронтального погрузчика TEREX 8 часов смена (с 01.06.12 по 16.06.12)
108;194;2022-05-03;24303372;Аренда компресора XAS 186 с оператором 8 часов смена
109;141;2022-04-04;2378133;Услуги автотранспорта по маршруту СПБ-Петрозаводск. Перевозка еврофура, песок 20 тонн
110;352;2022-04-08;4356857;"Расчет на прочность трубопроводов установки по подогреву сетевой воды от ТГ-5 Рязанская ф-ла ООО ""Ново-Рязанская ТЭЦ"""
111;144;2022-04-01;21022528;Услуги по финансовой аренде (лизингу) за май 2012 по дог.№24612-БТ-Т от 23.03.2012 График № Основное приложение
112;364;2022-04-02;21648260;Услуги по финансовой аренде (лизингу) за май 2012 по дог.№20311-БТ-Т от 18.05.2011 График № Основное приложение
113;301;2022-04-03;6857273;Услуги по финансовой аренде (лизингу) за май 2012 по дог.№70211-БИ-Авто от 19.10.2011 График № Основное приложение
114;342;2022-04-04;22104547;Транспортно-логистические услуги по заявке-договору № 2011-05/187 от 13.04.2011 по маршруту Москва-Санкт-Петербург
115;42;2022-04-05;6039161;Обучение по правилам устройства и безопасной эксплуатации кранов
116;261;2022-04-06;3030533;Обучение по промышленной безопасности
117;240;2022-01-02;24557485;Услуги по финансовой аренде (лизингу) за январь 2014 по дог.№20311-БТ-Т от 18.05.2011 График № Основное приложение
118;373;2022-05-03;21098593;Услуги по финансовой аренде (лизингу) за январь2014 по дог.№24612-БТ-Т от 23.03.2012 График № Основное приложение
119;390;2022-04-04;23718150;Услуги по финансовой аренде (лизингу) за январь 2014 по дог.№70211-БИ-Авто от 19.10.2011 График № Основное приложение
120;89;2022-04-08;23219819;"Отделка помещения №48,50,50а площадью 86,3 кв.м в пристройке к главному зданию, цокольный этаж ОАО ""ЦМКБ ""АЛМАЗ"" по  договору №15/11 от 07/07/2011."
121;232;2022-04-01;23658973;"Работы по договору 16/11 от 07.07.2011 ремонт полов в помещениях №48, 50, 50а общей площадью 86,3 кв.м в пристройке к главному зданию, цокольный этаж ОАО ""ЦМКБ ""АЛМАЗ"""
122;111;2022-04-02;15592551;"Работы по договору 17/11 от 19.07.2011 ремонт помещения №135б площадью 17,6 кв.м в пристройке к главному зданию ОАО ""ЦМКБ ""АЛМАЗ"""
123;162;2022-04-03;5351614;Доставка блок-контейнеров № 53211Т и № 53311Т а/м А 171 ВХ 53 по маршруту терминал Подрезково - Московская обл., г.Липецк
124;394;2022-04-04;18343053;Текущий ремонт главного корпуса (котельное отделение 2 очереди): монтаж вертикальных связей в виде ферм для пролетов, установка и разборка наружных инвентарных лесов по договору № 12/НР от 25.05.2011 согласно акта №3 от 31.07.2011
125;323;2022-04-05;13076369;Возмещение транспортных расходов
126;224;2022-04-06;4298993;"Аванс по договору № 959 от 30.09.2011 капитальный ремонт 3-х секционной вентиляторной градирни №3 5 ""а"" водоблока цеха №16 ОАО ""Московский НПЗ"""
127;416;2022-01-02;1666946;"Работы по ремонту кровли и помещений служебно-бытового корпуса Правобережной ТЭЦ (ТЭЦ-5) филиала ""Невский"" ОАО ""ТГК-1"" по договору №18/11/38334 от 25.07.11"
128;185;2022-05-03;2927369;Услуги по финансовой аренде (лизингу) за март 2013 по дог.№24612-БТ-Т от 23.03.2012 График № Основное приложение
129;158;2022-04-04;12234712;Услуги по финансовой аренде (лизингу) за март 2013 по дог.№20311-БТ-Т от 18.05.2011 График № Основное приложение
130;237;2022-04-08;1821197;Услуги по финансовой аренде (лизингу) за март 2013 по дог.№70211-БИ-Авто от 19.10.2011 График № Основное приложение
131;201;2022-04-01;2163670;Услуги а/м Камаз 54115 № 065 с п/п МАЗ 938662 №3776
132;401;2022-04-02;12821814;"Услуги а/м Камаз 54115 с п/прицепом СЗАП 93271 ;5119 работа сверх 8-ми часов"
133;110;2022-04-03;10561256;Услуги а/м Камаз 65115 № 132 с п/прицепом МАЗ 938662 №5159
134;133;2022-04-04;20494184;Услуги а/м Камаз 65225 №716 с п/п Нефаз 93341 №6047 работа сверх 8 ч и в выходные дни
135;44;2022-04-05;24135391;Очистка грязных отсеков насосных дождевых стоков (НДС) №№1,2 от грязи и ила по дог. Суб№02/10 от 03.03.2010
136;202;2022-04-06;20368159;Реконструкция открытого склада литер №25 с эстакадами топливоподачи литеры №26, №27 по договору №46.1.3130 от 28.02.2012
137;275;2022-01-02;11848825;Аренда транспортного средства КС-6473 Краян
138;2;2022-05-03;13891992;Аренда транспортного средства ЗИЛ-4514 Т 053 АТ
139;422;2022-04-04;18735961;Разработка рекомендацмй по устранению и согласованию отступлений от проекта № 16-3839-КМ примененного для РВС-20000 ст.№2 ПТЭЦ по гарантийному соглашению №48-68 от 04.04.12
140;111;2022-04-08;13031169;Возмещение затрат по контролю качества огнезащитной обработки металлоконструкций.
141;142;2022-04-01;16728604;"Аванс по договору 31/11 от 14.11.2011 (Перепланировка помещения №530 в главном здании ОАО ""ЦМКБ ""АЛМАЗ"")"
142;17;2022-04-02;22673634;Услуги автотранспорта 11.10.11 Вод.Литвинов (СПб-Рязань)
143;301;2022-04-03;12563681;Аванс по договору №268с/14 от 08.09.14 за выполнение высотных работ при выбуривании кернов и измерении характеристик бетона водоводов приборами неразрушающего контроля
144;309;2022-04-04;21123358;"Техническое обследование внутренней и наружной поверхностей железобетонной оболочки башенной градирни №1 (Н=89 м) филиала ""Калининградская ТЭЦ-2"" ОАО ""ИНТЕР РАО ЕЭС"" по договору № 06/11 от 14.04.2011"
145;345;2022-04-05;15492801;Переработка автовышки 28 м (28.02.11-10.03.11)
146;26;2022-04-06;4089533;Переработка автовышки 28 м (11.03.11-20.03.11)
147;408;2022-01-02;1503596;Переработка автовышки 28 м (18.03.11-21.03.11)
148;32;2022-05-03;9999959;Переработка автокрана 25 т (21.03.11)
149;49;2022-04-04;5866344;Переработка автокрана 32 т (18.03.11-20.03.11)
150;6;2022-04-08;19683603;Переработка автокрана 32 т (21.03.11-22.03.11)
151;222;2022-04-01;14740557;Переработка автокрана 25 т (22.03.11-24.03.11)
152;259;2022-04-02;22765725;Переработка автокрана 32 т (23.03.11-27.03.11)
153;111;2022-04-03;8228191;Капитальный ремонт межпанельных швов в доме №7 по адресу Новгородская обл., Валдайский р-н, пос.Рощино по дог.№6 от 17.06.2013
154;291;2022-04-04;22319914;Комиссия за оформление копии карточки образцов подписей и оттиска печати
155;351;2022-04-05;11834754;Аренда нежилых помещений в здании Мастерской ремонтно-строительного цеха согласно договора №36/12-ОУИ от 01.02.2012 за сентябрь 2012 по акту №1262 от 30.09.2012
156;224;2022-04-06;10325185;"Абонентское обслуживание типовых конфигураций 1С:Предприятие Пакет ""Техно"" за август 2015г."
157;204;2022-01-02;22704752;Аренда транспортного средства BOBCAT
158;433;2022-05-03;23596828;Аренда ТС по договору аренды ТС №16 от 01 сентября 2020
159;179;2022-04-04;2699722;Работы по установке, демонтажу строительных лесов в стесненных услових.
160;19;2022-04-08;24381370;Услуги: Компрессор дизельный Атлас Копко
161;393;2022-04-01;10876568;Аванс по ДС №2 от 17.10.2016 к дог.№WHSD-DR-SC-1101 от 10.06.2016 (работы по подготовке бетонных поверхностей и окраске оголовков опор IV-12-IV-13 на Секции 2 IV очереди строительства ЗСД)
162;177;2022-04-02;16231452;"Аванс по дог.№WHSD-DR-SC-1322 от 10.11.2016 (Работы по установке системы водоотведения – сборка системы дренажных труб типа ""Дюкер"" и ее соединение с водоотводными устройствами дороги (дорожные лотки и трапы на Секции 3 IV очереди строительства ЗСД («Работы»)."
163;234;2022-04-03;20152447;Аренда: подъемник самоходный ножничный HAULOTTE H15SX, рабочая высота 15м
164;111;2022-04-04;2099868;Оказание услуги : Аренда подъемника коленчатого MANIYOU 180 ATJ рабочая высота 17,65 м
165;416;2022-04-05;12751865;Оказание услуги: Возвратная транспортировка подъемник  коленчатый MANIYOU 180 ATJ
166;4;2022-04-06;19921911;Оказание услуги: Доставка оборудования подъемник коленчатый MANIYOU 180 ATJ
167;421;2022-01-02;14542480;Целевой взнос на обеспечение ведения нац. реестра
168;41;2022-05-03;3392638;"Выполнение строительно-монтажных работ
по объектам Энергоблока № 2 Нововоронежской АЭС-2 по дог №09/06-2018 от 09.06.2018"
169;189;2022-04-04;17688440;"Обучающий семинар на тему : ""Изменение рисков оптимизации налогообложения."""
170;116;2022-04-08;9371136;Выполнение строительно-монтажных работ по объектам Энергоблока № 2 Нововоронежской АЭС-2
171;7;2022-04-01;16585878;Услуги по мытью окон в помещениях УПФР в Адмиралтейском районе Санкт-Петербурга по гос.контракту №33/18 от 06.03.2018
172;268;2022-04-02;22034888;Транспортно-экспедиционные услуги, маршрут Нововоронеж-Спб
173;13;2022-04-03;14030933;Работы по покраске тела опор, оголовков опор  и цоколей на Секции 3 (IVс-1 - IVс-7) по договору №WHSD-DR-SC-1062 от 18.05.16
174;230;2022-04-04;17801977;Работы по покраске тела опор, оголовков опор  и цоколей на Секции 3 (IVс-1 - IVс-7) по договору №WHSD-DR-SC-1062 ДС2 от 10.08.2016
175;93;2022-04-05;18500196;Работы по монтажу труб кабельной канализации на секции 4 опоры 9-1,9-2, в рамках 4-ой очереди строительства ЗСД,по  дог.№WHSD-DR-SC-1067  ДС1 от 03.11.16
176;52;2022-04-06;14898507;"Работы по дог.№WHSD-DR-SC-1322 от 10.11.2016 (Работы по установке системы водоотведения – сборка системы дренажных труб типа ""Дюкер"" и ее соединение с водоотводными устройствами дороги (дорожные лотки и трапы на Секции 3 IV очереди строительства ЗСД («Работы»)."
177;207;2022-01-02;12089913;Работы по договору №WHSD-DR-SC-1433 от 05.06.17 на выполнение работ по окрашиванию стальных поверхностей металлоконструкций пролетных строений на Секции 03, в рамках Четвертой очереди строительства Проекта
178;398;2022-05-03;4263613;Комплекс работ на Объектах энергоблока №4 Ростовской АЭС: Башенная испарительная градирня. Водораспределительная система , оросители, каплеуловитель, зимний трубопровод, затворы, перегородки и дефлекторызатворы, перегородки и дефлекторы.
179;54;2022-04-04;1159815;Генподрядные услуги по договору 09/06-2018 от 09 июня 2018 г, 3% от стоимости выполненных работ
180;62;2022-04-08;3025970;Обучение по индивидуальному учебному плану
181;393;2022-04-01;14329716;Услуги по организации банковской гарантии
182;431;2022-04-02;16606538;Комиссия за управление дебиторской задолженностью
183;208;2022-04-03;16519640;"Выполнение работ по ремонту наружной обшивы градирни №2 для филиала ""Северо-Западная ТЭЦ им. А.Г. Бориса"" АО ""Интер РАО - Электрогенерация"" по дог.№ 8-СЕВ/008-0077-19 от 27.06.2019"
184;17;2022-04-04;14112926;Выполнение  работ по облицовке стен, согласно договору  № РСО2022/20-04 от 20.04.2022 года
185;25;2022-04-05;6992564;Перевозка строительных материалов
186;275;2022-04-06;22603098;Автотранспортные услуги с 23.10.2012 по 31.10.2012 Кран автомобильный КС-45717К-2 Т 715 СХ 86 г/п 25 тонн
187;168;2022-01-02;3748839;Автотранспортные услуги с 22.10.2012 по 24.10.2012 Кран автомобильный КС-65713-5 Х 817 ХР 86 г/п 50 тонн
188;397;2022-05-03;5532764;Автотранспортные услуги с 16.10.2012 по 20.10.2012 Кран автомобильный КС-65713-5 Х 817 ХР 86 г/п 50 тонн
189;161;2022-04-04;10216300;Автотранспортные услуги с 13.10.2012 по 14.10.2012 Кран автомобильный КС-65713-5 Х 817 ХР 86 г/п 50 тонн
190;342;2022-04-08;3659144;Автотранспортные услуги с 05.10.2012 по 12.10.2012 Кран автомобильный МКТБ 30,2 Н 018 РМ 86
191;148;2022-04-01;4050846;Плата с лица, с которым по результатам закупки, заключается контракт
192;314;2022-04-02;3082914;"Услуги по ускоренной аккредитации на электронной площадке ""Фабрикант"""
193;162;2022-04-03;3025576;"Выполнение работ по обследованию железобетонной градирни АО ""ТЭЦ-4"" , г. Улан-Батор, Монголия"" по дог.№ Г/2019-10 от 30.08.19"
194;337;2022-04-04;8204535;"Услуги по обучению по программе ""Бухгалтерский и налоговый учет ВЭД в свете изменений законодательства"""
195;327;2022-04-05;19868071;"Оказание образовательных услуг по программе обучения:""Безопасные методы и приемы выполнения работ на высоте 2 группа"""
196;118;2022-04-06;4987841;"Консультационное и техническое сопровождение Лицензиата по программе Торговая система ""Газнефтеторг.ру"" в рамках данного тарифного плана"
197;240;2022-01-02;15505510;Аренда компрессорного оборудования
198;207;2022-05-03;8372065;Комплекс работ по техническому перевооружению башенной градирни БГ-1600 ст. № 2, находящейся по адресу: РФ, Забайкальский край, г. Краснокаменск, Теплоэлектроцентраль ТЭЦ, по договору  №307/10075-Д от 28.08.2020.
199;303;2022-04-04;16846378;"Аванс на выполнение комплекса работ на объекте  ""Энергоблок №3 Ростовская АЭС"": монтаж вентиляционной градирни по договору №03-07/20 от 31.07.2020 г."
